x y z
-0.977946 0.147560 0.050000
-0.966705 0.149840 0.050000
-0.942547 0.152780 0.050000
-0.923533 0.132874 0.050000
-0.910312 0.156134 0.050000
-0.839368 0.162118 0.050000
-0.579257 0.160843 0.050000
-0.667729 0.125926 0.050000
-0.451365 0.144073 0.050000
-0.527130 0.109922 0.050000
-0.306275 0.110966 0.050000
-0.135831 0.055338 0.050000
-0.116273 0.048178 0.050000
-0.095872 0.040616 0.050000
-0.079724 0.034580 0.050000
-0.025356 0.014098 0.053687
-0.025356 0.014098 0.050000
-0.025356 0.014098 0.048525
-0.064732 0.010939 0.050000
-0.025356 0.014098 0.046313
-0.990239 0.139382 0.050000
-0.970668 0.149272 0.050000
-0.952223 0.151663 0.050000
-0.932741 0.153851 0.050000
-0.913907 0.155779 0.050000
-0.894132 0.157679 0.050000
-0.873470 0.159512 0.050000
-0.853722 0.161091 0.050000
-0.833091 0.162531 0.050000
-0.811578 0.163775 0.050000
-0.790029 0.164748 0.050000
-0.768450 0.165541 0.050000
-0.745984 0.166102 0.050000
-0.723522 0.166383 0.050000
-0.701069 0.166376 0.050000
-0.677731 0.166050 0.050000
-0.654410 0.165390 0.050000
-0.630219 0.164339 0.050000
-0.606057 0.162904 0.050000
-0.581935 0.161071 0.050000
-0.556075 0.158648 0.050000
-0.531110 0.155864 0.050000
-0.505340 0.152565 0.050000
-0.478758 0.148648 0.050000
-0.452247 0.144229 0.050000
-0.424933 0.139146 0.050000
-0.397711 0.133553 0.050000
-0.369714 0.127254 0.050000
-0.341829 0.120437 0.050000
-0.313198 0.112878 0.050000
-0.283810 0.104542 0.050000
-0.254543 0.095720 0.050000
-0.224533 0.086143 0.050000
-0.193761 0.075830 0.050000
-0.162215 0.064822 0.050000
-0.130727 0.053479 0.050000
-0.099272 0.041881 0.050000
-0.066128 0.029472 0.050000
-0.033179 0.017049 0.050000
0.000003 0.000027 0.050000
-0.968758 0.149559 0.046313
-0.734303 0.166284 0.048525
-0.484069 0.149472 0.050000
-0.239954 0.091127 0.053687
-0.018831 0.011639 0.042625
-0.734303 0.166284 0.046313
-0.484069 0.149472 0.048525
-0.239954 0.091127 0.050000
-0.018831 0.011639 0.053687
-0.734303 0.166284 0.042625
-0.484069 0.149472 0.046313
-0.239954 0.091127 0.048525
-0.018831 0.011639 0.050000
-0.484069 0.149472 0.053687
-0.484069 0.149472 0.042625
-0.239954 0.091127 0.046313
-0.018831 0.011639 0.048525
-0.239954 0.091127 0.050000
-0.239954 0.091127 0.053687
-0.239954 0.091127 0.042625
-0.018831 0.011639 0.046313
-0.018831 0.011639 0.048525
-0.018831 0.011639 0.050000
-0.018831 0.011639 0.053687
-0.018831 0.011639 0.042625

1.000000 0.000000 0.050000
0.984808 0.173648 0.050000
0.939693 0.342020 0.050000
0.866025 0.500000 0.050000
0.766044 0.642788 0.050000
0.642788 0.766044 0.050000
0.500000 0.866025 0.050000
0.342020 0.939693 0.050000
0.173648 0.984808 0.050000
0.000000 1.000000 0.050000
-0.173648 0.984808 0.050000
-0.342020 0.939693 0.050000
-0.500000 0.866025 0.050000
-0.642788 0.766044 0.050000
-0.766044 0.642788 0.050000
-0.866025 0.500000 0.050000
-0.939693 0.342020 0.050000
-0.984808 0.173648 0.050000
-1.000000 0.000000 0.050000
-0.984808 -0.173648 0.050000
-0.939693 -0.342020 0.050000
-0.866025 -0.500000 0.050000
-0.766044 -0.642788 0.050000
-0.642788 -0.766044 0.050000
-0.500000 -0.866025 0.050000
-0.342020 -0.939693 0.050000
-0.173648 -0.984808 0.050000
0.000000 -1.000000 0.050000
0.173648 -0.984808 0.050000
0.342020 -0.939693 0.050000
0.500000 -0.866025 0.050000
0.642788 -0.766044 0.050000
0.766044 -0.642788 0.050000
0.866025 -0.500000 0.050000
0.939693 -0.342020 0.050000
0.984808 -0.173648 0.050000

0.000000 0.000000 0.050000
0.004951 -0.000696 0.050000
0.009903 -0.001392 0.050000
0.099027 -0.013917 0.050000
0.247567 -0.034793 0.050000
0.495134 -0.069587 0.050000
0.990268 -0.139173 0.050000
1.485402 -0.208760 0.050000
1.980536 -0.278346 0.050000
2.475670 -0.347933 0.050000

